Date,Id,comment_text,sentiment_rating
2018-01-02 16:21:54,151966444824649_1770338822987395,Shems El ikhwania الإخوانية الكلاب,-1
2018-01-01 8:42:40,151966444824649_1769003303120947,Shems fm إخوانية شيطانية,-1
2017-12-31 12:30:39,151966444824649_1767855846569026,Article machbouh cad a7na menghodwa nchoufou les subsahariens ntarrdouhom walla n9oulou roddou balkom rahom lkolhom des voleurs. Déjà el page ismha shems aflem hhhhhh,-1
2017-12-31 10:07:31,151966444824649_1767782199909724,تي يزي عاد من الكذب تي اشنوة توا,-1
2017-12-31 10:37:28,151966444824649_1767769823244295,Belehi yezina mil ketheb,-1
2017-12-31 10:40:49,151966444824649_1767769823244295,ماثما شي كلو بص وكذب,-1
2017-12-31 12:25:41,151966444824649_1767769823244295,تلفيق و قيد على الارهاب هههه,-1
2017-12-31 6:48:53,151966444824649_1767527276601883,هزلت,-1
2017-12-31 4:42:12,151966444824649_1767456176608993,"c de la pure arnaque .. shems fm .. ne donne meme pas un dinar 
hhh pauvres tunisiens . debiles",-1
2017-12-31 4:12:49,151966444824649_1767437426610868,Khasara j'écoute  bien shems fm  mais  hasitkom   khidba,-1
2018-01-02 9:14:41,151966444824649_1767437426610868,L arnaque Shems mouch dar shems saha likom fama barcha mhabla tab3oukom,-1
2017-12-29 6:07:04,151966444824649_1764346020253342,Shems fm fi azma malya 5ater kathret messer9a bel sms hhhhh,-1
2017-09-28 4:32:32,151966444824649_1661864933834785,essna mgayna shems fm,-1
2017-06-15 10:41:11,151966444824649_1549186128436000,Shems fm أخطائهم كثرت ومواقفكم عمال وتضعف قدام الرأي العام نصيحة من مستمع وفي دعكم من حكايات سامي الفهري ومراوغاته القذرة خاطر شتخسروا قيمتكم الإعلامية,-1
2017-06-17 17:02:21,151966444824649_1549186128436000,Y'a shems  fm  5alik  mou7aeda. Allah larabe7ek y'a sami. Barket  ramdan,-1
2017-06-11 10:37:37,151966444824649_1546513622036584,العيب في shems fm تعمللكم في إشهار يا إعلام الكلاب,-1
2017-06-11 13:11:05,151966444824649_1546513622036584,Tfih alikom w ala shems FM eli wasletelkom soutkom,-1
2017-03-09 13:56:23,151966444824649_1443520335669247,شمس الافلام .كان الكذب و التلفيق,-1
2018-01-02 16:49:19,151966444824649_1770419139646030,هذا موضوع يا شمس ،زطلة ؟؟؟؟ ملا مستوي اعلامي ،احترم السيدة الي تقدم البرنامج،واحترم المستمع يا اخي ضاقت عليك المواضيع؟؟؟؟,-1
2018-01-02 11:46:57,151966444824649_1769964193024858,شمس fm كفاكم كذبا لترويج دواء فاسد ف صفقتكم اللعينة باتت مكشوفة للجميع,-1
